key,Key.f2,pressed,1708709688.7878969
mouse,1555,705,1708709690.7858636
mouse,1557,705,1708709690.786864
mouse,1558,704,1708709690.788369
mouse,1558,704,1708709690.7910483
mouse,1559,704,1708709690.7928872
mouse,1559,704,1708709690.7955272
mouse,1560,704,1708709690.797529
mouse,1561,704,1708709690.8005311
mouse,1561,704,1708709690.8015282
mouse,1562,704,1708709690.8030348
mouse,1562,704,1708709690.8050563
mouse,1562,704,1708709690.8063214
mouse,1563,704,1708709690.807796
mouse,1563,704,1708709690.8087986
mouse,1564,704,1708709690.8097975
mouse,1565,704,1708709690.8107967
mouse,1565,704,1708709690.8127985
mouse,1566,704,1708709690.8140826
mouse,1566,704,1708709690.8150828
mouse,1567,704,1708709690.8160822
mouse,1568,704,1708709690.8180854
mouse,1569,704,1708709690.820352
mouse,1571,704,1708709690.8213742
mouse,1571,704,1708709690.82302
mouse,1572,704,1708709690.8238866
mouse,1573,704,1708709690.8248885
mouse,1575,704,1708709690.8258896
mouse,1576,704,1708709690.826887
mouse,1577,704,1708709690.8278902
mouse,1578,704,1708709690.8288827
mouse,1579,704,1708709690.8298848
mouse,1581,704,1708709690.8308864
mouse,1582,704,1708709690.8326876
mouse,1583,704,1708709690.8336945
mouse,1587,704,1708709690.8346987
mouse,1589,704,1708709690.835951
mouse,1590,704,1708709690.8370907
mouse,1593,704,1708709690.8381793
mouse,1596,704,1708709690.8404124
mouse,1598,703,1708709690.8414352
mouse,1606,703,1708709690.8428302
mouse,1609,703,1708709690.8438532
mouse,1611,703,1708709690.845129
mouse,1615,703,1708709690.8461285
mouse,1620,703,1708709690.8471289
mouse,1624,702,1708709690.8481297
mouse,1630,702,1708709690.8491297
mouse,1634,702,1708709690.85013
mouse,1640,701,1708709690.8511267
mouse,1644,701,1708709690.8511267
mouse,1646,701,1708709690.8526306
mouse,1653,700,1708709690.8546412
mouse,1665,699,1708709690.8556368
mouse,1668,698,1708709690.8576376
mouse,1678,697,1708709690.8586376
mouse,1685,696,1708709690.8596416
mouse,1693,696,1708709690.8606372
mouse,1700,696,1708709690.8616393
mouse,1710,695,1708709690.862636
mouse,1718,694,1708709690.8636887
mouse,1727,693,1708709690.864685
mouse,1736,692,1708709690.865682
mouse,1744,691,1708709690.8666837
mouse,1752,690,1708709690.8676815
mouse,1761,687,1708709690.868682
mouse,1770,686,1708709690.869681
mouse,1778,685,1708709690.8706827
mouse,1787,684,1708709690.8716838
mouse,1795,683,1708709690.8731894
mouse,1804,682,1708709690.8741984
mouse,1812,681,1708709690.8751957
mouse,1821,680,1708709690.8761947
mouse,1829,679,1708709690.877199
mouse,1846,677,1708709690.878195
mouse,1848,677,1708709690.878195
mouse,1868,673,1708709690.8806791
mouse,1876,672,1708709690.8806791
mouse,1884,671,1708709690.882876
mouse,1892,670,1708709690.8841639
mouse,1910,668,1708709690.8851697
