                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3117,                0.76117,                 1.1081,                0.92026,                0.66827,                0.80534,                 0.4843,                 1.1295,                0.58546,                 1.0449,              0.0081437,              0.0081437,              0.0081437
                     77,                 1.2932,                0.74142,                 1.0974,                0.90131,                0.67548,                0.80527,                0.48998,                 1.1407,                0.58187,                 1.0465,               0.008119,               0.008119,               0.008119
                     78,                 1.2926,                0.75528,                 1.1024,                0.89579,                0.67652,                0.80043,                0.49549,                 1.1493,                 0.5779,                 1.0285,              0.0080942,              0.0080942,              0.0080942
                     79,                 1.2787,                0.72697,                 1.0975,                0.90955,                0.68643,                0.80733,                0.48646,                 1.1535,                0.57424,                 1.0466,              0.0080695,              0.0080695,              0.0080695
                     80,                 1.2914,                0.74109,                 1.0906,                 0.9103,                0.67816,                0.80729,                0.49177,                 1.1482,                0.57964,                 1.0496,              0.0080447,              0.0080447,              0.0080447
                     81,                 1.2968,                0.73783,                 1.1013,                0.90277,                0.68651,                0.80875,                0.48931,                 1.1424,                0.57748,                 1.0508,                0.00802,                0.00802,                0.00802
                     82,                 1.2905,                0.74455,                 1.0982,                0.91541,                0.68081,                0.81441,                0.49568,                 1.1551,                0.57452,                 1.0454,              0.0079953,              0.0079953,              0.0079953
                     83,                 1.2865,                0.73999,                 1.1016,                0.93311,                0.67344,                0.80883,                0.49527,                 1.1367,                0.56649,                 1.0561,              0.0079705,              0.0079705,              0.0079705
                     84,                 1.2839,                0.74257,                  1.094,                0.92701,                0.68348,                0.80086,                0.49409,                 1.1452,                0.58131,                 1.0489,              0.0079457,              0.0079457,              0.0079457
                     85,                 1.2832,                0.74722,                 1.0916,                0.95899,                0.65974,                0.80247,                0.49866,                 1.1418,                0.58407,                 1.0423,               0.007921,               0.007921,               0.007921
                     86,                 1.2895,                0.73158,                 1.0957,                 0.8646,                0.71611,                0.80807,                0.49998,                 1.1161,                0.58209,                 1.0308,              0.0078963,              0.0078963,              0.0078963
                     87,                  1.296,                0.74829,                 1.0941,                0.85747,                0.71628,                0.81185,                 0.5006,                 1.0956,                0.57661,                 1.0186,              0.0078715,              0.0078715,              0.0078715
                     88,                 1.2873,                0.73741,                 1.0865,                0.85736,                0.73123,                0.81912,                 0.5006,                 1.1121,                0.58629,                 1.0235,              0.0078467,              0.0078467,              0.0078467
                     89,                 1.2785,                0.73298,                  1.091,                0.84772,                0.74316,                0.82479,                0.49785,                 1.1249,                0.59227,                 1.0237,               0.007822,               0.007822,               0.007822
                     90,                 1.2722,                0.71868,                 1.0918,                0.83404,                0.73335,                0.81242,                0.49831,                 1.1245,                0.59075,                 1.0324,              0.0077973,              0.0077973,              0.0077973
                     91,                  1.283,                0.73476,                 1.0933,                0.85382,                0.70969,                0.81522,                0.49351,                 1.1396,                0.60426,                 1.0254,              0.0077725,              0.0077725,              0.0077725
                     92,                 1.2843,                0.73389,                   1.09,                0.87491,                   0.71,                0.81433,                0.49607,                 1.1208,                0.60598,                 1.0081,              0.0077478,              0.0077478,              0.0077478
                     93,                 1.2668,                0.72137,                 1.0952,                0.86047,                0.72961,                 0.8191,                0.49492,                  1.122,                0.59425,                 1.0067,               0.007723,               0.007723,               0.007723
                     94,                 1.2715,                0.72948,                 1.0833,                0.85885,                0.72777,                0.81813,                0.49811,                 1.1376,                 0.6001,                 1.0108,              0.0076983,              0.0076983,              0.0076983
                     95,                 1.2691,                0.71664,                 1.0857,                0.85357,                0.73548,                0.81949,                0.49695,                 1.1288,                 0.5922,                 1.0132,              0.0076735,              0.0076735,              0.0076735
                     96,                 1.2918,                 0.7364,                 1.0948,                0.88398,                0.70618,                0.82226,                0.49216,                 1.1371,                0.58592,                 1.0249,              0.0076488,              0.0076488,              0.0076488
                     97,                 1.2737,                0.72631,                 1.0865,                0.95325,                0.67607,                0.82943,                 0.5054,                 1.1278,                 0.5698,                  1.028,               0.007624,               0.007624,               0.007624
                     98,                 1.2584,                0.72662,                 1.0913,                0.84217,                0.73925,                0.82012,                0.50552,                 1.1349,                0.57361,                 1.0366,              0.0075993,              0.0075993,              0.0075993
                     99,                 1.2684,                 0.7256,                 1.0831,                 0.9271,                0.68375,                0.82349,                0.50393,                 1.1175,                 0.5767,                 1.0366,              0.0075745,              0.0075745,              0.0075745
                    100,                 1.2609,                0.70853,                 1.0877,                0.84752,                0.73049,                0.82386,                0.50728,                 1.1027,                0.57268,                 1.0324,              0.0075498,              0.0075498,              0.0075498
                    101,                 1.2632,                  0.723,                 1.0837,                  0.854,                0.74379,                0.82941,                0.50417,                 1.1161,                  0.575,                 1.0435,               0.007525,               0.007525,               0.007525
                    102,                 1.2605,                0.71338,                  1.078,                0.87794,                0.72683,                0.83372,                0.50608,                 1.1142,                0.57195,                 1.0512,              0.0075003,              0.0075003,              0.0075003
                    103,                 1.2583,                0.71118,                  1.084,                0.87699,                0.73304,                0.83291,                0.50459,                 1.1121,                0.56382,                 1.0479,              0.0074755,              0.0074755,              0.0074755
                    104,                  1.258,                0.71738,                 1.0804,                0.87567,                0.73515,                0.82762,                0.50365,                 1.1131,                0.56768,                 1.0446,              0.0074507,              0.0074507,              0.0074507
                    105,                 1.2495,                0.71775,                 1.0798,                 0.9415,                0.67881,                0.81879,                0.49857,                 1.1122,                0.57003,                   1.04,               0.007426,               0.007426,               0.007426
